name,url,price,img,brand,code
Pepe Jeans,http://www.koovs.com/pepe-jeans-t-shirt_321-83802.html,780,http://images.koovscdn.com/uploads/products/83802_eab981aa3e8b42839448d3f4f86b2254_image1_zoom.jpg,Pepe Jeans,83802
Pepe Jeans,http://www.koovs.com/pepe-jeans-t-shirt_134-83805.html,874,http://images.koovscdn.com/uploads/products/83805_7bb60ad5cd20f88e684fc93d0979fa06_image1_zoom.jpg,Pepe Jeans,83805
Adamo London,http://www.koovs.com/slogan-racerback-tank-85616.html,489,http://images.koovscdn.com/uploads/products/85616_e7473b58da68af630639a65915ca8f02_image1_zoom.jpg,Adamo London,85616
Marcello & Ferri,http://www.koovs.com/marcello--ferri-wood-red-smart-shoes-84940.html,2000,http://images.koovscdn.com/uploads/products/84940_05b82b41432a1ac0830afd6cfce11b30_image1_zoom.jpg,Marcello & Ferri,84940
Marcello & Ferri,http://www.koovs.com/marcello--ferri-white-mid-top-trainers_399-84511.html,1189,http://images.koovscdn.com/uploads/products/84511_e0c2e4d34b0b431193f27c395b17888c_image1_zoom.jpg,Marcello & Ferri,84511
Wanderlust,http://www.koovs.com/wanderlust-statement-chakra-ear-jacket-87513.html,799,http://images.koovscdn.com/uploads/products/87513_7ac093e01c9313ce8309ec773007ce73_image1_zoom.jpg,Wanderlust,87513
Marcello & Ferri,http://www.koovs.com/marcello--ferri-lace-up-loafers-with-fringes-90944.html,2499,http://images.koovscdn.com/uploads/products/90944_eec8b968a0334134962226d46c455143_image1_zoom.jpg,Marcello & Ferri,90944
Knotty Derby,http://www.koovs.com/faux-suede-plimsolls-with-camo-sole-82759.html,1990,http://images.koovscdn.com/uploads/products/82759_79f6fd4321a30de1ed4aaa7dcbb7d25b_image1_zoom.jpg,Knotty Derby,82759
Wanderlust,http://www.koovs.com/wanderlust-crystal-head-chain-87514.html,699,http://images.koovscdn.com/uploads/products/87514_0006a05d59f8772eeb56d5981d54c969_image1_zoom.jpg,Wanderlust,87514
Kultprit,http://www.koovs.com/kultprit-front-open-hooded-cardigan_96-87132.html,1199,http://images.koovscdn.com/uploads/products/87132_0b65f6d97cfa860acdeb94a49fa9de63_image1_zoom.jpg,Kultprit,87132
Wanderlust,http://www.koovs.com/wanderlust-minimalistic-crystal-choker-87518.html,1099,http://images.koovscdn.com/uploads/products/87518_7ffb9407523d326e28a6ba15e25fd5c0_image1_zoom.jpg,Wanderlust,87518
Kultprit,http://www.koovs.com/square-neck-t-shirt-92567.html,799,http://images.koovscdn.com/uploads/products/92567_3deb31547f09ab8e25b35e2b510cc2a3_image1_zoom.jpg,Kultprit,92567
Marcello & Ferri,http://www.koovs.com/marcello--ferri-white-burgandy-casual-shoes-84946.html,2000,http://images.koovscdn.com/uploads/products/84946_97a6d0368fee490792b7bc2faeb8d0be_image1_zoom.jpg,Marcello & Ferri,84946
Kultprit,http://www.koovs.com/side-zip-joggers_308-87005.html,1360,http://images.koovscdn.com/uploads/products/87005_e622a977c7ae52990c079d0d7b4696b8_image1_zoom.jpg,Kultprit,87005
VEROMODA Pleated Neck Top In Long Sleeves,http://www.koovs.com/veromoda-vmcora-resta-34-top-nfs-91989.html,1699,http://images.koovscdn.com/uploads/products/91989_122f0f0fe9f1d6c646973fc1482c1221_image1_zoom.jpg,,91989
Velvet Army,http://www.koovs.com/velvet-army-metallic-block-heeled-sandals-87719.html,2895,http://images.koovscdn.com/uploads/products/87719_7345b2b71c3bce4fbbd6da2076e622e8_image1_zoom.jpg,Velvet Army,87719
The Classic,http://www.koovs.com/time-to-ketchup-with-fries-tee-85315.html,1199,http://images.koovscdn.com/uploads/products/85315_ac49eda185da29afdd261d72ec33ab96_image1_zoom.jpg,The Classic,85315
Style Fiesta,http://www.koovs.com/style-fiesta-studded-choker-85732.html,399,http://images.koovscdn.com/uploads/products/85732_a9bd2445cdc3d9f50701a9091badc6c8_image1_zoom.jpg,Style Fiesta,85732
Truffle Collection,http://www.koovs.com/truffle-collection-holographic-pool-sliders-92338.html,1299,http://images.koovscdn.com/uploads/products/92338_dc32925ca69a582c5c583e14edce2a39_image1_zoom.jpg,Truffle Collection,92338
Truffle Collection,http://www.koovs.com/truffle-collection-studded-flat-sandals-with-big-buckle-92326.html,2699,http://images.koovscdn.com/uploads/products/92326_535b6316344ade6cdcbf445e4c1702e3_image1_zoom.jpg,Truffle Collection,92326
Truffle Collection,http://www.koovs.com/truffle-collection-studded-flat-sandals-with-big-buckle-92326.html,2699,http://images.koovscdn.com/uploads/products/92326_4e5f52a3df1807c2d6d2c6698926e6d3_image1_zoom.jpg,Truffle Collection,92326
Truffle Collection,http://www.koovs.com/truffle-collection-holographic-pool-sliders-92338.html,1299,http://images.koovscdn.com/uploads/products/92338_d5838b6cbf7ec9c9ac995e77e24d0416_image1_zoom.jpg,Truffle Collection,92338
Style Fiesta,http://www.koovs.com/style-fiesta-pin-box-85911.html,399,http://images.koovscdn.com/uploads/products/85911_d8b4469ca78a5f7e2b5685c69d986837_image1_zoom.jpg,Style Fiesta,85911
Style Fiesta,http://www.koovs.com/style-fiesta-pin-up-corsage_374-83281.html,279,http://images.koovscdn.com/uploads/products/83281_9584ab5e3b8570f628c2bdb2a27531e7_image1_zoom.jpg,Style Fiesta,83281
Style Fiesta,http://www.koovs.com/style-fiesta-choker_497-85908.html,399,http://images.koovscdn.com/uploads/products/85908_cac31979c9572a2a92148c7ea2ee038b_image1_zoom.jpg,Style Fiesta,85908
Style Fiesta,http://www.koovs.com/style-fiesta-bolo-tie-choker-90071.html,399,http://images.koovscdn.com/uploads/products/90071_bdc770370fe7c53999bbc88148b07952_image1_zoom.jpg,Style Fiesta,90071
Style Fiesta,http://www.koovs.com/style-fiesta-choker-85730.html,499,http://images.koovscdn.com/uploads/products/85730_87c47b7002d6f29891e2b365a0c32403_image1_zoom.jpg,Style Fiesta,85730
